client,total_sites,attribute,total_sites_using,pct_sites_using
mobile,7940685,onchange,233140,0.029360187439748588
mobile,7940685,readonly,232897,0.029329585545831375
desktop,5430532,data-placement,158876,0.029256065519915914
desktop,5430532,data-vignette-loaded,157365,0.028977823903809055
mobile,7940685,playsinline,229429,0.028892847405482022
desktop,5430532,data-transition,155193,0.028577863089656777
desktop,5430532,data-bg,155146,0.028569208320658086
desktop,5430532,stroke-miterlimit,155129,0.02856607787229686
desktop,5430532,data-widget-id,154591,0.028467008388865032
mobile,7940685,data-bg,225370,0.02838168243671673
desktop,5430532,data-thumb,153968,0.028352286663627064
mobile,7940685,data-placement,224342,0.028252222572737743
desktop,5430532,gapi_processed,153408,0.028249166011727764
desktop,5430532,offset,152800,0.028137206446808526
desktop,5430532,data-delay,152562,0.028093380169751325
mobile,7940685,data-source-attribution,222961,0.02807830810566091
mobile,7940685,data-delay,221580,0.027904393638584078
mobile,7940685,data-vignette-loaded,221423,0.027884622044571723
desktop,5430532,aria-autocomplete,151217,0.02784570646117176
mobile,7940685,onmouseover,216749,0.02729600783811472
mobile,7940685,data-small-header,216661,0.027284925670770215
desktop,5430532,data-section-id,147852,0.027226061829669728
desktop,5430532,nonce,147347,0.02713306909893911
desktop,5430532,xmlns:og,146604,0.02699625009115129
desktop,5430532,data-slide-to,146231,0.026927564371225506
mobile,7940685,pattern,213654,0.026906242975259693
mobile,7940685,xmlns:fb,213301,0.026861788372161848
mobile,7940685,referrerpolicy,212756,0.02679315449485781
desktop,5430532,data-interval,145048,0.02670972199408824
mobile,7940685,data-owidth,211959,0.026692785320158147
mobile,7940685,data-oheight,211956,0.026692407518998675
desktop,5430532,data-value,144868,0.026676576070263466
desktop,5430532,data-ll-status,144252,0.026563143353174237
desktop,5430532,data-no-minify,144160,0.026546202103219355
desktop,5430532,data-wpfc-render,143992,0.026515265907649563
mobile,7940685,nonce,209242,0.02635062340339656
desktop,5430532,data-pagespeed-no-defer,142562,0.026251939957263857
desktop,5430532,data-small-header,142132,0.026172758028126894
mobile,7940685,offset,207512,0.026132758068101176
desktop,5430532,referrerpolicy,141368,0.02603207199589285
mobile,7940685,data-x,205919,0.025932145652421672
desktop,5430532,"""",139411,0.025671702146309053
mobile,7940685,data-slide-to,203504,0.02562801571904691
mobile,7940685,data-value,203315,0.02560421424600019
mobile,7940685,data-interval,201930,0.025429796044044058
desktop,5430532,data-minify,137559,0.025330667418956374
desktop,5430532,data-size,136778,0.025186850938361104
mobile,7940685,data-section-id,199798,0.025161305353379463
mobile,7940685,stroke-miterlimit,198603,0.02501081455818988
desktop,5430532,stop-color,135183,0.024893141224469353
mobile,7940685,data-size,197292,0.02484571545150072
desktop,5430532,data-currency,134296,0.024729805477621714
mobile,7940685,data-y,195655,0.024639561952148965
desktop,5430532,data-ueto,132914,0.024475318440255946
mobile,7940685,data-wpfc-render,194347,0.024474840646619277
mobile,7940685,preload,194132,0.024447764896857134
desktop,5430532,data-full-width-responsive,132617,0.024420627665945067
desktop,5430532,aria-level,132410,0.024382509853546577
mobile,7940685,data-pagespeed-no-defer,193038,0.02430999340736977
mobile,7940685,onmouseout,192161,0.02419954953508419
desktop,5430532,data-product-id,130861,0.024097270764632268
desktop,5430532,data-section-type,130859,0.02409690247658977
desktop,5430532,accesskey,130721,0.024071490601657444
desktop,5430532,data-owidth,129842,0.023909628006979794
desktop,5430532,data-oheight,129840,0.023909259718937297
mobile,7940685,data-full-width-responsive,189849,0.02390839077485129
mobile,7940685,xmlns:og,189580,0.023874514604218654
desktop,5430532,data-image,129442,0.023835970398480295
desktop,5430532,data-lazy-srcset,129218,0.023794722137720575
mobile,7940685,data-elementor-settings,188792,0.023775278832997404
mobile,7940685,data-adapt-container-width,187735,0.023642166891143523
desktop,5430532,data-x,128218,0.02361057811647183
mobile,7940685,data-widget-id,187231,0.023578696296352265
mobile,7940685,data-product-id,186704,0.02351232922600506
desktop,5430532,aria-owns,127653,0.02350653674446629
mobile,7940685,"""",186166,0.023444576884739794
mobile,7940685,aria-owns,186155,0.023443191613821728
mobile,7940685,stop-color,185528,0.023364231171492132
mobile,7940685,data-no-minify,184392,0.02322117046577216
mobile,7940685,onkeypress,184194,0.023196235589247022
desktop,5430532,data-sitekey,125573,0.023123517180268893
desktop,5430532,data-adapt-container-width,124703,0.022963311881782484
mobile,7940685,data-hook,182290,0.02295645778670228
mobile,7940685,in,182239,0.02295003516699126
mobile,7940685,data-smartmenus-id,181635,0.022873971200217613
desktop,5430532,pattern,124041,0.022841408539715814
mobile,7940685,data-currency,181170,0.02281541202049949
mobile,7940685,data-duration,180667,0.02275206735942806
desktop,5430532,data-duration,123509,0.022743443920411482
mobile,7940685,aria-autocomplete,179694,0.022629533850039386
desktop,5430532,data-link,122871,0.02262596003485478
